movie id,movie title,genres,movie_summary
11,Seven (Se7en) (1995),"Crime,Thriller","Seven (stylized as SE7EN) is a 1995 American crime thriller film was directed by David Fincher and written by Andrew Kevin Walker. It stars Brad Pitt, Morgan Freeman, Gwyneth Paltrow, Kevin Spacey and John C. McGinley. The film tells the story of David Mills, a detective who partners with the retiring William Somerset to track down a serial killer who uses the seven deadly sins as a motif in his murders.
The screenplay was influenced by the time Walker spent in New York City trying to make it as a writer. Principal photography took place in Los Angeles, with the last scene filmed near Lancaster, California. The film's budget was $33 million.
Released on September 22, 1995 by New Line Cinema, Seven was the seventh-highest-grossing film of the year, grossing over $327 million worldwide. It was well received by critics, who praised the film's dark style, brutality and themes. The film was nominated for Best Film Editing at the 68th Academy Awards, losing to Apollo 13."
12,"Usual Suspects, The (1995)","Crime,Thriller","The Usual Suspects is a 1995 American neo-noir mystery film directed by Bryan Singer and written by Christopher McQuarrie. It stars Stephen Baldwin, Gabriel Byrne, Benicio del Toro, Kevin Pollak, Chazz Palminteri, Pete Postlethwaite, and Kevin Spacey.
The plot follows the interrogation of Roger ""Verbal"" Kint, a small-time con man, who is one of only two survivors of a massacre and fire on a ship docked at the Port of Los Angeles. Through flashback and narration, Kint tells an interrogator a convoluted story of events that led him and his criminal companions to the boat, and of a mysterious crime lord—known as Keyser Söze—who controlled them. The film was shot on a $6 million budget and began as a title taken from a column in Spy magazine called The Usual Suspects, after one of Claude Rains' most memorable lines in the classic film Casablanca, and Singer thought that it would make a good title for a film.
The film was shown out of competition at the 1995 Cannes Film Festival, and then initially released in a few theaters. It received favorable reviews and was eventually given a wider release. McQuarrie won an Academy Award for Best Original Screenplay and Spacey won the Academy Award for Best Supporting Actor for his performance. The Writers Guild of America ranked the film as having the 35th greatest screenplay of all time."
13,Mighty Aphrodite (1995),Comedy,"Mighty Aphrodite is a 1995 American romantic comedy film written, directed by, and co-starring Woody Allen, alongside Mira Sorvino, Helena Bonham Carter, Michael Rapaport, and F. Murray Abraham. The screenplay was inspired by the story of Pygmalion and is about Lenny Weinrib's (Allen) search for his genius adopted son's biological mother, ultimately finding that she is a dim-witted prostitute named Linda Ash (Sorvino).
While critical reception of Mighty Aphrodite overall was mildly positive, Sorvino was widely praised for her performance, earning several accolades such as the Academy Award for Best Supporting Actress, as well as a Golden Globe Award, New York Film Critics Circle Award, Critics' Choice Movie Award, National Board of Review Award, and a Dallas–Fort Worth Film Critics Association Award."
14,"Postino, Il (1994)","Drama,Romance","Il Postino: The Postman (Italian: Il postino, lit. ''The Postman''; the title used for the original US release) is a 1994 comedy-drama film co-written by and starring Massimo Troisi and directed by English filmmaker Michael Radford. Based on the novel Ardiente paciencia (English translation: ""Burning Patience"") by Antonio Skármeta, itself adapted from a 1983 film written and directed by Skármeta, the film tells a fictional story in which the real life Chilean poet Pablo Neruda forms a relationship with a simple Procida postman (Troisi) who learns to love poetry. The cast includes Troisi, Philippe Noiret, and Maria Grazia Cucinotta. The screenplay was adapted by Radford, Troisi, Anna Pavignano, Furio Scarpelli, and Giacomo Scarpelli.
Writer/star Troisi was severely ill during filming, postponing heart surgery so it could be completed. The day after principal photography ended, he suffered a fatal heart attack, and the film was completed and released posthumously. The film was critically acclaimed, earning numerous accolades including BAFTA Awards for Best Film Not in the English Language, Best Direction, and Best Film Music. Composer Luis Bacalov won the Academy Award for Best Original Dramatic Score, and the film was nominated for Best Picture, Best Director, Best Actor, and Best Adapted Screenplay."
15,Mr. Holland's Opus (1995),Drama,"Mr. Holland's Opus is a 1995 American drama film directed by Stephen Herek, produced by Ted Field, Robert W. Cort, and Michael Nolin, and written by Patrick Sheane Duncan. The film stars Richard Dreyfuss in the title role of Glenn Holland, a high-school music teacher who aspires to write his own composition while struggling with a lack of quality time with his wife and profoundly deaf son. The cast also includes Glenne Headly, Olympia Dukakis, William H. Macy, and Jay Thomas.
The film was nominated for the Golden Globe Award for Best Screenplay. Richard Dreyfuss received nominations for the Golden Globe Award for Best Actor – Motion Picture Drama and the Academy Award for Best Actor."
16,French Twist (Gazon maudit) (1995),"Comedy,Romance","French Twist (French: Gazon maudit) is a cult 1995 French comedy film. It was written and directed by Josiane Balasko. The film was one of very few French films to have a dubbed version for English audiences. Its title in French is untranslatable but 'Cursed Lawn' is a close approximation. It also refers to the shaving (or not) of pubic hair, a subtle joke in French alluding to the subject matter of the film. The film was selected as the French entry for the Best Foreign Language Film at the 68th Academy Awards, but was not accepted as a nominee."
17,From Dusk Till Dawn (1996),"Action,Comedy,Crime,Horror,Thriller","From Dusk till Dawn is a 1996 American action horror film directed by Robert Rodriguez and written by Quentin Tarantino. It stars Harvey Keitel, George Clooney, Tarantino, and Juliette Lewis. After enjoying financial success at the box office, it has since become a cult film.


== Plot ==
Fugitive bank robbers Seth and Richie Gecko hold up a liquor store, killing clerk Pete Bottoms and Texas Ranger Earl McGraw, and in the process, they inadvertently destroy the building. At the motel room where they are hiding out, Seth returns to find Richie has raped and murdered a bank clerk they had taken hostage.
Jacob Fuller, a pastor experiencing a crisis of faith, is on vacation with his teenage children Scott and Kate in their RV. They stop at the motel and are kidnapped by the Geckos, who force the Fullers to smuggle them over the Mexican border. In Mexico, they arrive at the Titty Twister, a strip club in the desert, where the Geckos will be met by their contact, Carlos, at dawn. Carlos will escort them to sanctuary at ""El Rey"", a place of safety for fugitives from justice whose admission fee is 30 percent of everything they have.  When Richie complains to Seth that this too high, Seth tells him it is non-negotiable.  
The bar employees reveal themselves as vampires and kill most of the patrons."
18,"White Balloon, The (1995)",Drama,"The White Balloon (Persian: بادکنک سفيد‎, Badkonake sefid) is a 1995 Iranian film directed by Jafar Panahi, with a screenplay by Abbas Kiarostami. It was Panahi's feature-film debut as director. The film received many strong critical reviews and won numerous awards in the international film fairs around the world including the Prix de la Camera d'Or at the 1995 Cannes Film Festival. The Guardian has listed this film as one of the 50 best family films of all time. The film is on the BFI list of the 50 films you should see by the age of 14.
The film was selected as the Iranian entry for the Best Foreign Language Film at the 68th Academy Awards, but was not accepted as a nominee. Iran unsuccessfully tried to withdraw the film from contention but the Academy refused to accept the withdrawal."
19,Antonia's Line (1995),Drama,"Antonia's Line (Original title: Antonia) is a 1995 Dutch feminist film written and directed by Marleen Gorris. The film, described as a ""feminist fairy tale"", tells the story of the independent Antonia (Willeke van Ammelrooy) who, after returning to the anonymous Dutch village of her birth, establishes and nurtures a close-knit matriarchal community. The film covers a breadth of topics, with themes ranging from death and religion to sex, intimacy, lesbianism, friendship and love.
Antonia's Line was made after challenges in finding locations and funding in the 1980s and 1990s. It enjoyed critical success and several awards, including the Academy Award for Best Foreign Language Film at the 68th Academy Awards."
20,Angels and Insects (1995),"Drama,Romance","Angels & Insects is a 1995 American-British romance drama film directed by Philip Haas and starring Mark Rylance, Patsy Kensit, and Kristin Scott Thomas. It was written by Philip and Belinda Haas with A. S. Byatt after her novella Morpho Eugenia (included in her book Angels and Insects). The film received an Academy Award nomination for Best Costume Design."
21,Muppet Treasure Island (1996),"Action,Adventure,Comedy,Musical,Thriller","Muppet Treasure Island is a 1996 American musical action adventure comedy film directed by Brian Henson, produced by Jim Henson Productions, and distributed by Walt Disney Pictures. It is the fifth feature film to star the Muppets and is based on the novel Treasure Island by Robert Louis Stevenson.
Similarly to its predecessor The Muppet Christmas Carol (1992), the key roles were played by live-action actors, with the Muppets in supporting roles. It stars Tim Curry, Billy Connolly, Jennifer Saunders and, in his feature film debut, Kevin Bishop, alongside Kermit the Frog as Captain Abraham Smollett, Fozzie Bear as Squire Trelawney, Sam Eagle as Mr. Samuel Arrow and Miss Piggy as the castaway Benjamina Gunn. Following their success as the narrators of The Muppet Christmas Carol, The Great Gonzo and Rizzo the Rat were given specially created roles as Jim Hawkins' best friends.
The film was released on February 16, 1996, grossing $34 million on a budget of $31 million, and receiving generally positive reviews from critics and audiences.

"
22,Braveheart (1995),"Action,Drama,War","Braveheart is a 1995 American epic war film directed and co-produced by Mel Gibson, who portrays William Wallace, a late-13th-century Scottish warrior. The film is fictionally based on the life of Wallace leading the Scots in the First War of Scottish Independence against King Edward I of England. The film also stars Sophie Marceau, Patrick McGoohan and Catherine McCormack. The story is inspired by Blind Harry's epic poem The Actes and Deidis of the Illustre and Vallyeant Campioun Schir William Wallace and was adapted for the screen by Randall Wallace.
Development on the film initially started at Metro-Goldwyn-Mayer when producer Alan Ladd Jr. picked up the project from Wallace, but when MGM was going through new management, Ladd left the studio and took the project with him. Despite initially declining, Gibson eventually decided to direct the film, as well as star as Wallace. The film was filmed in Scotland and Ireland from June to October 1994 with a budget around $65–70 million. Braveheart, which was produced by Gibson's Icon Productions and The Ladd Company, was distributed by Paramount Pictures in North America and by 20th Century Fox internationally.
Released on May 24, 1995, Braveheart received generally positive reviews from critics, who praised the performances, directing, production values, battle sequences, and musical score, but criticized its inaccuracies regarding Wallace's title, love interests, and attire. The film grossed $75.6 million in the US and grossed $210.4 million worldwide. At the 68th Academy Awards, the film was nominated for ten Academy Awards and won five: Best Picture, Best Director, Best Cinematography, Best Makeup, and Best Sound Editing. A sequel, Robert the Bruce, was released in 2019, with Angus Macfadyen reprising his role."
23,Taxi Driver (1976),"Drama,Thriller","Taxi Driver is a 1976 American neo-noir psychological thriller film directed by Martin Scorsese, written by Paul Schrader, and starring Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel, Peter Boyle, Leonard Harris and Albert Brooks. Set in a decaying and morally bankrupt New York City following the Vietnam War, the film tells the story of a lonely taxi driver, who descends into insanity as he plots to assassinate both the presidential candidate (Harris) for whom the woman he is infatuated with (Shepherd) works, and the pimp (Keitel) of an underage prostitute (Foster) he befriends.
A critical and commercial success upon release and nominated for four Academy Awards, including for Best Picture, Best Actor (for De Niro) and Best Supporting Actress (for Foster), Taxi Driver won the Palme d'Or at the 1976 Cannes Film Festival. The film generated controversy at the time of its release for its depiction of violence and casting of a 12 year old Foster in the role of a child prostitute.
It is regularly cited by critics, film directors, and audiences alike as one of the greatest films of all time. In 2012, Sight & Sound named it the 31st-best film ever in its decennial critics' poll, ranked with The Godfather Part II, and the fifth-greatest film of all time on its directors' poll. The film was considered ""culturally, historically or aesthetically"" significant by the US Library of Congress and was selected for preservation in the National Film Registry in 1994."
24,Rumble in the Bronx (1995),"Action,Adventure,Crime","Rumble in the Bronx is a 1995 Hong Kong martial arts action comedy film starring Jackie Chan, Anita Mui and Françoise Yip. It was directed by Stanley Tong, with action choreographed by Chan and Tong. Released in Hong Kong in 1995, Rumble in the Bronx had a successful theater run, and brought Chan into the American mainstream. The film is set in the Bronx area of New York City but was filmed in and around Vancouver, Canada. It was one of the most profitable films of 1996, grossing over ten times its US$7.5 million budget."
25,"Birdcage, The (1996)",Comedy,"The Birdcage is a 1996 American comedy film directed by Mike Nichols, adapted by Elaine May, and starring Robin Williams, Gene Hackman, Nathan Lane, and Dianne Wiest. Dan Futterman, Calista Flockhart, Hank Azaria, and Christine Baranski appear in supporting roles. It is a remake of the 1978 Franco-Italian film La Cage aux Folles by Édouard Molinaro starring Michel Serrault and Ugo Tognazzi."
26,"Brothers McMullen, The (1995)",Comedy,"The Brothers McMullen is a 1995 American comedy-drama film written, directed, produced by, and starring Edward Burns. It deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s."
27,Bad Boys (1995),Action,"Bad Boys is a 1995 American buddy cop action comedy film directed by Michael Bay, in his feature directorial debut, produced by Don Simpson and Jerry Bruckheimer and starring Martin Lawrence and Will Smith as two Miami narcotics detectives, Marcus Burnett and Mike Lowrey. It spawned the Bad Boys trilogy, which includes two sequels, Bad Boys II (2003), and Bad Boys for Life (2020)."
28,Apollo 13 (1995),"Action,Drama,Thriller","Apollo 13 is a 1995 American space docudrama film directed by Ron Howard and starring Tom Hanks, Kevin Bacon, Bill Paxton, Gary Sinise, and Ed Harris. The screenplay by William Broyles Jr., and Al Reinert dramatizes the aborted 1970 Apollo 13 lunar mission and is an adaptation of the book Lost Moon: The Perilous Voyage of Apollo 13 by astronaut Jim Lovell and Jeffrey Kluger. The film depicts astronauts Lovell, Jack Swigert, and Fred Haise aboard Apollo 13 for America's third Moon landing mission. En route, an on-board explosion deprives their spacecraft of most of its oxygen supply and electric power, forcing NASA's flight controllers to abort the Moon landing, and turning the mission into a struggle to get the three men home safely.
Howard went to great lengths to create a technically accurate movie, employing NASA's technical assistance in astronaut and flight controller training for his cast, and obtaining permission to film scenes aboard a reduced gravity aircraft for realistic depiction of the ""weightlessness"" experienced by the astronauts in space.
Released to cinemas in the United States on June 30, 1995, Apollo 13 was nominated for nine Academy Awards, including Best Picture (winning for Best Film Editing and Best Sound). In total, the film grossed over $355 million worldwide during its theatrical releases. The film was very positively received by critics."
29,Batman Forever (1995),"Action,Adventure,Comedy,Crime","Batman Forever is a 1995 American superhero film directed by Joel Schumacher and produced by Tim Burton, based on the DC Comics character Batman. A sequel to the 1992 film Batman Returns and the third installment of Warner Bros.'s initial Batman film series, it stars Val Kilmer replacing Michael Keaton as Bruce Wayne and Batman, alongside Tommy Lee Jones, Jim Carrey, Nicole Kidman, Chris O'Donnell, Michael Gough, and Pat Hingle. The plot focuses on Batman trying to stop Two-Face and the Riddler in their villainous scheme to extract confidential information from all the minds in Gotham City and use it to learn Batman's identity and bring the city under their control. In the process, he gains allegiance from a young, orphaned circus acrobat named Dick Grayson, who becomes his sidekick Robin, and meets and develops feelings for psychiatrist Dr. Chase Meridian, which brings him to the point to decide if he will lead a normal life or if he is destined to fight crime as Batman forever.
Batman Forever's tone is significantly different from the previous installments, becoming more family-friendly since Warner Bros. believed that Batman Returns failed to outgross its predecessor due to parent complaints about the film's violence and dark overtones. Schumacher eschewed the dark, dystopian atmosphere of Burton's films by drawing inspiration from the Batman comic books of the Dick Sprang era, as well as the 1960s television series. After Keaton chose not to reprise his role, William Baldwin and Ethan Hawke were considered as a replacement before Val Kilmer joined the cast.
The film was released on June 16, 1995, receiving mixed reviews, but was a financial success. Batman Forever grossed over $336 million worldwide and became the sixth-highest-grossing film worldwide of 1995. The film was followed by Batman & Robin in 1997, with Schumacher returning as the director, Chris O'Donnell returning as Robin, and George Clooney replacing Kilmer as Batman."
30,Belle de jour (1967),Drama,"Belle de Jour (pronounced [bɛl də ʒuʁ]) is a 1967 drama film directed by Luis Buñuel, and starring Catherine Deneuve, Jean Sorel, and Michel Piccoli. Based on the 1928 novel Belle de jour by Joseph Kessel, the film is about a young woman who spends her midweek afternoons as a high-class prostitute, while her husband is at work.The title of the film is a pun on the French term, ""belle de nuit"" (""lady of the night"", i.e., a prostitute), but Séverine works during the day under the pseudonym ""Belle de Jour"". Her nickname can also be interpreted as a reference to the French name of the daylily (Hemerocallis), meaning ""beauty of [the] day"", a flower that blooms only during the day.
Belle de Jour is one of Buñuel's most successful and famous films. It won the Golden Lion and the Pasinetti Award for Best Film at the Venice Film Festival in 1967."
31,Crimson Tide (1995),"Drama,Thriller,War","Crimson Tide is a 1995 American submarine film directed by Tony Scott, and produced by Don Simpson and Jerry Bruckheimer. It takes place during a period of political turmoil in the Russian Federation, in which ultranationalists threaten to launch nuclear missiles at the United States and Japan. It focuses on a clash of wills between the new executive officer (Denzel Washington) of a U.S. nuclear missile submarine and its seasoned commanding officer (Gene Hackman), arising from conflicting interpretations of an order to launch their missiles. Its story parallels a real incident during the Cuban Missile Crisis, albeit aboard a Soviet rather than U.S. submarine.
The film was scored by Hans Zimmer, who won a Grammy Award for the main theme, which makes heavy use of synthesizers in place of traditional orchestral instruments.
An extended cut, which incorporated seven minutes of deleted scenes, was released on DVD in 2006. When the film was released on Blu-ray two years later, however, the film was restored to the theatrical version."
32,Crumb (1994),Documentary,"Robert Dennis Crumb (; born August 30, 1943) is an American cartoonist and musician who often signs his work R. Crumb.  His work displays a nostalgia for American folk culture of the late 19th and early 20th centuries, and satire of contemporary American culture.
Crumb is a prolific artist and contributed to many of the seminal works of the underground comix movement in the 1960s, including being a founder of the first successful underground comix publication, Zap Comix, contributing to all 16 issues. He was additionally contributing to the East Village Other and many other publications, including a variety of one-off and anthology comics. During this time, inspired by psychedelics and cartoons from the 1920s and 1930s, he introduced a wide variety of characters that became extremely popular, including countercultural icons Fritz the Cat and Mr. Natural, and the images from his Keep on Truckin' strip. Sexual themes abounded in all these projects, often shading into scatological and pornographic comics. In the mid-1970s, he contributed to the Arcade anthology; following the decline of the underground, he moved towards biographical and autobiographical subjects while refining his drawing style, a heavily crosshatched pen-and-ink style inspired by late 19th- and early 20th-century cartooning. Much of his work appeared in a magazine he founded, Weirdo (1981–1993), which was one of the most prominent publications of the alternative comics era. As his career progressed, his comic work became more autobiographical.
In 1991, Crumb was inducted into the comic book industry's Will Eisner Comic Book Hall of Fame. He is married to cartoonist Aline Kominsky-Crumb, with whom he has frequently collaborated. Their daughter Sophie Crumb has also followed a cartooning career.

"
33,Desperado (1995),"Action,Romance,Thriller","Desperado is a 1995 American action film written, produced, and directed by Robert Rodriguez. A sequel to the 1993 film El Mariachi, it is the second installment in Robert Rodriguez's Mexico Trilogy. It stars Antonio Banderas as the mariachi who seeks revenge on the drug lord who killed his lover.  The film was screened out of competition at the 1995 Cannes Film Festival. Once Upon a Time in Mexico, the final part of the trilogy, was released in 2003.  Desperado grossed $25.4 million in the United States."
34,"Doom Generation, The (1995)","Comedy,Drama","The Doom Generation is a 1995 black comedy thriller film written and directed by Gregg Araki. It stars James Duval, Rose McGowan, and Johnathon Schaech. The film follows two troubled teenage lovers, Amy Blue (McGowan) and Jordan White (Duval), who pick up a young handsome drifter named Xavier Red (Schaech). After he accidentally kills a store clerk, the trio embarks on a journey full of sex, violence, and people from Amy's past. Billed as ""A Heterosexual Movie by Gregg Araki"", The Doom Generation is the second film in the director's trilogy known as the ""Teenage Apocalypse Trilogy"", the first being Totally Fucked Up (1993) and the last one Nowhere (1997). The characters of Amy Blue and Jordan White are based on the Mark Beyer comic strip ""Amy and Jordan"".
The Doom Generation was Araki's major film debut. It was shot mostly at night during January 1994 in Los Angeles on a budget of $800,000. The crew avoided well known landmarks and shot in undeveloped areas of urban sprawl to give the film an apocalyptic feel. The reasonable budget allowed Araki to hire professional crew, making it the first of his films not shot by himself.
The film premiered at the Sundance Film Festival on January 26, 1995, before appearing at various other film festivals. It received mixed reviews from critics. During the press screening, many of the critics walked out. However, at the San Francisco International Film Festival (SFIFF), the film received critical acclaim, most proclaiming it as Araki's breakthrough film. Distributed by Trimark Pictures, it was released in the United States on October 27, 1995. Despite the favorable reviews, the film did not achieve financial success, earning only $284,785 at the box office. McGowan was nominated for the Best Debut Performance at the 11th Independent Spirit Awards."
35,Free Willy 2: The Adventure Home (1995),"Adventure,Children's,Drama","Free Willy 2: The Adventure Home is a 1995 American family film, directed by Dwight Little, and distributed by Warner Bros. under their Warner Bros. Family Entertainment label. It is a sequel to the 1993 film Free Willy, also starring Jason James Richter and August Schellenberg. Free Willy 3: The Rescue, was subsequently released in 1997, making a trilogy. A fourth nonconsecutive film, Free Willy: Escape from Pirate's Cove was released on DVD in Spring 2010. Keiko the Orca does not actually appear in this film unlike the original film. Willy is played by a robotic double while the Free Willy Keiko Foundation devised a plan to bring him to the Oregon Coast Aquarium where he would be rehabilitated for poor health."
